set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units
hydrogen_to_cement_fuel,power,HR,0,gigawatt,0.34832105977578165,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,HU,0,gigawatt,0.23594719199514758,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,IE,0,gigawatt,0.5078878965846965,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,IT,0,gigawatt,2.1384250999394387,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,LT,0,gigawatt,0.14828782656673303,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,LU,0,gigawatt,0.1089808728544453,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,LV,0,gigawatt,0.12401190784990329,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,NL,0,gigawatt,0.0,0.0,1382.896216216216,1382.896216216216
hydrogen_to_cement_fuel,power,NO,0,gigawatt,0.20377160492135976,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,PL,0,gigawatt,1.8601457030478077,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,PT,0,gigawatt,0.7353391468274557,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,RO,0,gigawatt,0.9684721171116659,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,SE,0,gigawatt,0.37205288035183876,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,SI,0,gigawatt,0.11377851792168332,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,SK,0,gigawatt,0.38290066638765163,0.0,-0.001246221034307382,-0.001246221034307382
hydrogen_to_cement_fuel,power,UK,0,gigawatt,1.0312216950177575,0.0,-0.001246221034307382,-0.001246221034307382
industrial_gas_consumer,power,AT,0,gigawatt,0.0,0.0,-0.001984791020004253,-0.001984791020004253
industrial_gas_consumer,power,BE,0,gigawatt,0.0,0.0,-0.001984791020004253,-0.001984791020004253
