set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,reduced_cost,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units,rc_capex_equivalent_per_kw_eff
H2_DRI,power,HU,0,kilotonproduct / hour,0.0,0.0,0.0,894.8361207537291,894.8361207537291,894.8361207537291
H2_DRI,power,IE,0,kilotonproduct / hour,0.0,0.0,0.0,4156.120382354013,4156.120382354013,4156.120382354013
H2_DRI,power,IT,0,kilotonproduct / hour,0.0,0.0,0.0,498.8062598332481,498.8062598332481,498.8062598332481
H2_DRI,power,LT,0,kilotonproduct / hour,0.0,0.0,0.0,4156.120382354013,4156.120382354013,4156.120382354013
H2_DRI,power,LU,0,kilotonproduct / hour,0.0,0.0,0.0,1253.3801041133274,1253.3801041133274,1253.3801041133274
H2_DRI,power,LV,0,kilotonproduct / hour,0.0,0.0,0.0,4156.120382354013,4156.120382354013,4156.120382354013
H2_DRI,power,NL,0,kilotonproduct / hour,0.0,0.0,0.0,1435.5409505883763,1435.5409505883763,1435.5409505883763
H2_DRI,power,NO,0,kilotonproduct / hour,0.0,0.0,0.0,2112.360404846863,2112.360404846863,2112.360404846863
H2_DRI,power,PL,0,kilotonproduct / hour,0.0,0.0,0.0,1396.2381320121076,1396.2381320121076,1396.2381320121076
H2_DRI,power,PT,0,kilotonproduct / hour,0.07762557077625572,0.0,0.0,0.0,0.0,0.0
H2_DRI,power,RO,0,kilotonproduct / hour,0.0,0.0,0.0,1952.6296800656696,1952.6296800656696,1952.6296800656696
H2_DRI,power,SE,0,kilotonproduct / hour,0.0,0.0,0.0,1470.5102339457858,1470.5102339457858,1470.5102339457858
H2_DRI,power,SI,0,kilotonproduct / hour,0.0,0.0,0.0,652.9660422984389,652.9660422984389,652.9660422984389
H2_DRI,power,SK,0,kilotonproduct / hour,0.0,0.0,0.0,975.1062017353324,975.1062017353324,975.1062017353324
H2_DRI,power,UK,0,kilotonproduct / hour,0.0,0.0,0.0,1913.922119931277,1913.922119931277,1913.922119931277
HDT_BET,power,AT,0,megatkm / hour,0.0,0.0,0.0,57.342382590181444,57.342382590181444,121.60323533929096
HDT_BET,power,BE,0,megatkm / hour,0.0,0.0,0.0,24.35374381916037,24.35374381916037,51.64581426969252
HDT_BET,power,BG,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,CH,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,CZ,0,megatkm / hour,8.929524413694665,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,DE,0,megatkm / hour,0.0,0.0,0.0,0.46965063357276904,0.46965063357276904,0.9959655309365447
HDT_BET,power,DK,0,megatkm / hour,3.4256487520567864,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,EE,0,megatkm / hour,1.0962076006581694,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,EL,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,ES,0,megatkm / hour,0.0,0.0,0.0,2.169963529013785,2.169963529013785,4.601737384758129
HDT_BET,power,FI,0,megatkm / hour,6.577245603949015,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,FR,0,megatkm / hour,39.76036318220566,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,HR,0,megatkm / hour,0.0,0.0,0.0,8.315048505839655,8.315048505839655,17.633323811110234
HDT_BET,power,HU,0,megatkm / hour,8.449933588406715,0.0,0.0,0.0,0.0,0.0
