capex_euro_per_kw,node,year,built_gw,rc_euro_per_kw,rc_per_kw_eff
50,CH,0,0.0,1.0130785099704553e-14,2.894510028487045e-14
50,CH,1,0.0,1.0130785099704553e-14,2.894510028487045e-14
50,CH,2,0.0,0.0,0.0
50,CH,3,0.0,13.389239740640468,38.254970687544585
50,CH,4,0.0,0.0,0.0
50,CH,5,0.0,0.0,0.0
50,DE,0,0.0,0.0,0.0
50,DE,1,0.0,37.936973690194904,108.39135340055797
50,DE,2,0.0,37.93697369019492,108.39135340055802
50,DE,3,0.0,37.9369736901949,108.39135340055796
50,DE,4,0.0,37.9369736901949,108.39135340055796
50,DE,5,0.0,37.936973690194876,108.39135340055789
12,CH,0,17.123283630371255,0.0,0.0
12,CH,1,1.7123283630371269,2.5326962749261384e-15,7.236275071217613e-15
12,CH,2,1.8835611993408357,0.0,0.0
12,CH,3,2.0719173192749203,-2.5326962749261384e-15,-7.236275071217613e-15
12,CH,4,2.279109051202415,0.0,0.0
12,CH,5,2.507019956322658,0.0,0.0
12,DE,0,172.19061625491315,0.0,0.0
12,DE,1,17.21906162549132,2.5326962749261384e-15,7.236275071217613e-15
12,DE,2,18.94096778804044,0.0,0.0
12,DE,3,20.835064566844466,-2.5326962749261384e-15,-7.236275071217613e-15
12,DE,4,22.918571023528955,0.0,0.0
12,DE,5,25.21042812588189,0.0,0.0
